Sl No,Zone,Organisational District,Organisational Mandal,LSG Name,LSG Type,Team,LSGI Coverage Date,Seat Call,BJP Seat Count,LDF Seat Count,UDF Seat Count,Independent/Others,Reasoning,
1,Kozhikode,Kasargod,Badiadka,Badiadka,Grama Panchayat,Team 3,3 December,Deadheat,9,2,9,1,"The BJP is expected to improve its performance and is running a focused, targeted campaign to secure the required votes in close wards while protecting its strong areas.

After delimitation, Ward 11 (split from the earlier closely contested Ward 9) has become difficult for the BJP because the voter mix now favours the opponent. However, the BJP has a strong chance in Ward 14 (earlier Ward 13), which is currently held by the LDF.

Ward 4 (earlier Ward 5) also remains tough, as the LDF councillor is popular and there is no anti-incumbency against them.

Overall, the total seat prediction for the panchayat is a dead heat, with both fronts equally placed.

In the long run, the BJP may face challenges due to an ageing Hindu population and young Hindu voters migrating out.","Under R1 Review, Under R2 Review"
2,Kozhikode,Kasargod,Badiadka,Bellur,Grama Panchayat,Team 3,5 December,BJP Ahead,8,3,,3,"The BJP is expected to retain control of the Panchayat despite internal friction caused by the rebellion of the former Panchayat Vice President running as an independent, whose candidature may affect several wards. The Hindu community is firmly behind the BJP, viewing the LDF (Communists) as ""Godless."" The Muslim community votes for the LDF, largely due to a sizable presence of LDF-supporting Hindus in certain wards, while the UDF has virtually no presence due to the low Muslim population.",Under R1 Review
3,Kozhikode,Kasargod,Badiadka,Karadka,Grama Panchayat,Team 3,5 December,BJP Ahead,8,3,3,2,"

The BJP is benefiting from almost complete consolidation of the Hindu community, while the Muslim community strategically splits its votes between the LDF and UDF to counter the BJP, despite unfavorable demographics. The CPM is set to retain its three legacy wards, with its remaining sitting seat in a ""dead heat"" with the BJP. The UDF will not make significant gains due to the polarization in Hindu-majority wards. The Hindu community, particularly Sabarimala Devotees, has expressed nervousness over the perceived fanatic behavior of the Muslim community in nearby panchayats.

",Under R1 Review
4,Kozhikode,Kasargod,Badiadka,Kumbadaje,Grama Panchayat,Team 3,5 December,Deadheat,7,,7,,"The BJP is set to retain its wards and will benefit in an additional ward due to the delimitation, which has increased the total to 14 and currently does not favor the IUML. The IUML has strengthened its support among the Muslim community and LDF voters aiming to keep the BJP out, but it is experiencing internal tussles between moderate and conservative factions. The Hindu community feels threatened by the expanding influence of the IUML Panchayat President and Manjeshwaram MLA. While the Christian community remains firm with the UDF, their impact on results is lessened post-delimitation.

",Under R1 Review
5,Kozhikode,Kasargod,Kasaragod,Kasaragod,Municipality,Team 3,3 December,BJP Behind,13,,19,4,"The BJP is confident of winning 13 wards and is fighting strongly in three more, where the contest is a dead heat. To win the panchayat, the BJP needs four additional wards, which may only be possible with strong voter mobilisation, including possible monetary influence.

The party’s campaign is tightly coordinated with the Sangh Parivar and is using a development-focused message. They are highlighting people’s anger over bad roads, drainage problems, and other neglected issues — and this message is gaining good support.
Importantly, the linguistic minority vote has fully shifted to the BJP, giving them an advantage in certain pockets.

Out of the 39 wards, only seven truly remain unpredictable; the rest are clear strongholds of either the BJP or the IUML.","Under R1 Review, Under R2 Review"
6,Kozhikode,Kasargod,Kasaragod,Madhur,Grama Panchayat,Team 3,3 December,BJP Ahead,13,2,6,,"The BJP is likely to retain the panchayat this time because the fight has become highly polarized. Even though people are upset about issues like bad services and rising prices, this polarization is helping the BJP stay ahead.

The UDF is trying to take advantage of public anger by promising lower prices. At the same time, the BJP is dealing with internal problems, and rebel candidates could cost them one or two wards. The IUML is also facing its own internal fights over candidate selection.

For now, the polarized atmosphere works in the BJP’s favour. But in the long run, their position may weaken due to upcoming demographic changes.","Under R1 Review, Under R2 Review"
7,Kozhikode,Kasargod,Kumbla,Enmakaje,Grama Panchayat,Team 3,5 December,Deadheat,8,2,8,,"

The LDF is set to lose wards, including legacy seats, in a continuing trend across the Manjeshwar/Kasargod Mandal, due to the heavy consolidation of the Hindu community behind the BJP, fueled by alarm over the increasing Muslim population and subsequent polarization. The Muslim population is firmly with the UDF, meaning wards where they previously supported the LDF may now see a BJP-UDF contest. However, the anti-incumbency factor is being mitigated by the popularity of Panchayat President Sri Somashekhara.",Under R1 Review
8,Kozhikode,Kasargod,Manjeshwar,Meenja,Grama Panchayat,Team 3,4 December,Deadheat,8,1,8,,"The BJP is running a strong and very visible campaign, and people on the ground clearly sense the party’s growing momentum. This rise is mainly because almost the entire Hindu population has consolidated behind the BJP, except in a few traditional LDF pockets.

The LDF, on the other hand, is struggling badly, with almost no functioning organization, putting it at risk of a complete wipeout.
At the same time, the UDF is stuck in internal fights, as the IUML is pushing for more wards based on its strong Muslim vote base. The situation is further complicated because the IUML’s sitting MLA is slowly weakening the local INC structure.","Under R1 Review, Under R2 Review"
9,Kozhikode,Kasargod,Manjeshwar,Paivalike,Grama Panchayat,Team 3,4 December,Deadheat,9,2,9,,"The election has turned into a direct fight between the BJP and the LDF in the BJP-ruled wards, while the Muslim community is now consolidating behind the IUML, which is trying to chart its own path separate from the LDF.

After delimitation, the panchayat now has 21 wards. One former BJP ward was split—creating a new Muslim-majority ward and another ward where the BJP–LDF contest will be extremely close.
Surprisingly, the LDF is at risk of losing most of its sitting wards, as the Manjeshwaram MLA is actively weakening the LDF’s base to strengthen the IUML.","Under R1 Review, Under R2 Review"
10,Kozhikode,Kasargod,Manjeshwar,Vorkady,Grama Panchayat,Team 3,4 December,Deadheat,9,0,10,,"The BJP is likely to hold on to all its existing wards and gain three more, mainly because the Hindu vote has almost completely united behind the party, except in two wards.
On the other side, the LDF is at risk of losing all its current wards due to strong anti-incumbency and the loss of Muslim support, as the Muslim community has now fully shifted to the UDF (after being divided in 2020).

If the Muslim vote were to split among different fronts, the BJP could even gain up to five additional wards.","Under R1 Review, Under R2 Review"
